feature,coef
Distributor_Life Sentence Films/m Tuckman Media,0.0
Distributor_Lifesize Entertainment,-3937.2880023987213
Distributor_Lightsource,583.4458686587328
Distributor_Lionsgate,2342513.2040126664
Distributor_Lionsgate/After Dark,-357355.0242110783
Distributor_Lionsgate/Roadside Attractions,182976.823473443
Distributor_Logo Features,-18514.05739260571
Distributor_Loki Films,118237.22239036932
Distributor_Lonely Seal Releasing,-128633.51012309482
Distributor_Long Shot Factory,103062.1521852952
Distributor_Lorber Films,155651.6131660228
Distributor_Lot 47 Films,-9977.332376655937
Distributor_Lovett,87237.58533342858
Distributor_Luke Films,7362.485188553292
Distributor_M Power Releasing,0.0
Distributor_MCR Releasing,-98785.03765905657
Distributor_MGM,559969.0658040473
Distributor_MPI Media Group,-222653.4748108927
Distributor_MacGillivray Freeman Films,988402.3327479867
Distributor_Magic Lamp,-321760.11637386907
Distributor_Magnet Pictures,-510666.22316694964
Distributor_Magnolia Pictures,-518502.97873247875
Distributor_Main Street,-205294.91532547327
Distributor_Mandt Brothers,-1204842.2148090121
Distributor_Maya Releasing,-358892.8077115803
Distributor_Meadowbrook,72985.44544193336
Distributor_Menemsha Entertainment,-98302.63515040402
Distributor_Metropole Films Distribution,-25122.60392556434
Distributor_Microangelo Entertainment,-47280.931525528635
Distributor_Midwest Movies,-28020.7483011857
Distributor_Mile End Films,30955.13240921424
Distributor_Miramax,136930.76487899653
Distributor_Miramax/Roadside Attractions,399197.25475278846
Distributor_Mitropoulos Films,-126680.30603829783
Distributor_Mochary Films,0.0
Distributor_Mongrel Media,-220151.79492424568
Distributor_Monica Beach Media,0.0
Distributor_Monterey Media,-455151.89594910404
Distributor_Monument Releasing,803.2909135795086
Distributor_Moriah Films,82567.8453567438
Distributor_Morning Star Pictures,-395225.9478387359
Distributor_Motion Film Group,56025.11332906106
Distributor_Motion Pictures Film and Television,0.0
Distributor_Movin' Picture Studios,-428402.31458393985
"Distributor_Moving Visions Entertainment, Inc.",0.0
Distributor_Music Box Films,-192136.9914916323
Distributor_Myriad Entertainment Group,-156380.67033092934
Distributor_NCM Fathom,154160.47867144708
Distributor_National Geographic Entertainment,1174039.309776219
Distributor_NeoClassics Films,-170321.5898800945
Distributor_New Films Cinema,24158.508770429467
Distributor_New Line,1970310.7565054523
Distributor_New Love Films,350207.69303469936
Distributor_New Yorker,-190564.68541129993
Distributor_Newmarket Films,-764229.2932202547
Distributor_Newport Films,5560.591753997702
Distributor_Newroz Films,-123235.41693671599
Distributor_Newstyle Releasing,63628.362909631986
Distributor_Nocturnal Features,-442221.75408049894
Distributor_North/South Pictures,6181.346419260015
Distributor_Northern Arts Entertainment,0.0
Distributor_Noruz Films,-43207.1299981152
Distributor_Noujaim Films,138584.03591232307
Distributor_Odeon Films,-17084.31101804057
Distributor_Ohio Street Pictures,69652.46077960888
Distributor_Oilrag Productions,-144264.75943602136
Distributor_Olive Films,18020.894042614098
Distributor_Omin/Freestyle,-378638.1959792806
"Distributor_One Media, LLC",-227334.12344187897
Distributor_Onyx Films,68800.02700229884
Distributor_Open Road,1040437.9241741287
Distributor_Oscilloscope Pictures,-15808.376612369504
Distributor_Outsider,98063.27948039335
Distributor_Overture Films,905346.007282807
Distributor_PBS Distribution,82468.33297943161
Distributor_PMK*BNC,-155848.99470075237
Distributor_Page 124 Productions,34685.570886375965
Distributor_Paladin,-44293.06884011006
Distributor_Paladin/108 Media,-38632.21232456789
Distributor_Palisades,-16864.893935388973
Distributor_Pallisades Tartan,-57142.155680302494
Distributor_Palm Pictures,-26379.713416560728
Distributor_Pan Media & Entertainment,84378.79314817858
Distributor_Pantelion Films,-112831.27804214592
Distributor_Paramount Pictures,6794325.784635216
Distributor_Paramount Vantage,568907.9609765331
Distributor_Participant Media,-87565.71371105488
Distributor_Pasidg Productions,-25445.13240369569
Distributor_Peace Arch Releasing,-963.7499001571945
Distributor_Peace Film LLC,0.0
Distributor_People Pictures,-67811.90109720481
Distributor_Phase 4 Films,-54506.445013108416
Distributor_Phase 4 Films Sameul Goldwyn Films,14607.866470591385
Distributor_Picture Park,0.0
Distributor_Picture This Entertainment,-101409.15642100752
Distributor_Picturehouse,73492.8724486135
Distributor_Pillen's Farm Pictures,-161294.21974388332
Distributor_Plastic Age Productions,-137915.23112552782
Distributor_PlayNow Enterprise,-216342.8891534503
Distributor_Plymptoons,-63486.031942564616
Distributor_Pocket Releasing,-59090.72491287487
Distributor_Polygram,20075.809338961528
Distributor_Present Pictures/Morning Knight,0.0
Distributor_Priority Films,150303.38895557376
Distributor_Producers Distribution Agency,-116819.1902510883
Distributor_Proud Mother Pictures,0.0
Distributor_Purdie Distribution,-361435.6632058143
Distributor_Pure Flix / Samuel Goldwyn Films,0.0
Distributor_Pure Flix Entertainment,1470693.247023755
Distributor_Quaker Media,526273.5363063061
Distributor_Quixotic Media,27874.06205483129
Distributor_RADiUS-TWC,-199824.85415719735
Distributor_RAM Releasing,57504.846615396404
Distributor_RCR Media Group,-70601.07898254324
Distributor_Rada Film Group,139047.81397749187
Distributor_Radio London Films,0.0
Distributor_Radius,119743.63629720069
Distributor_Railroad Square,248712.51607672597
Distributor_Rainbow Releasing,-157921.38832278643
Distributor_Raja Cinema,-851049.6647278753
Distributor_Ram Entertainment,-913136.4534442733
Distributor_Reacter 88 Studios,-49260.64706738508
Distributor_Real Bean Entertainment,53753.37571452471
Distributor_Red Flag Releasing,-100456.78234400372
Distributor_Reel Diva Consultants,302709.5893801968
Distributor_Reel One Entertainment / Supremacy Films,-6410.031546081823
Distributor_Reel Source,3510.514885799901
Distributor_Regent Releasing,-495141.8034291173
Distributor_Relativity,1518197.01683327
Distributor_Reliance Big Pictures,-432883.2606643226
Distributor_Reliance Entertainment,-82627.46526513483
Distributor_Resident Artist,0.0
Distributor_Revolver Entertainment,88390.08018421107
Distributor_Rialto Pictures,-358288.4216580068
Distributor_Richmond Media Entertainment,-541089.5228853511
Distributor_Riot Studios,-345018.132779382
Distributor_RiverRain / Ripple Effect,-52702.08588081587
Distributor_Riverrain,-318687.8449716051
Distributor_Roadside Attractions,-509519.4945857483
Distributor_Rocket Releasing,69701.2118383397
Distributor_Rockstone Releasing,-150269.63274682057
Distributor_Rocky Mountain Pictures,-98301.75273121326
Distributor_Romantic Troubadour Entertainment,0.0
Distributor_Romar,-606796.6139306263
Distributor_Rooftop Films,22394.624660531852
Distributor_S2BN,-44264.627569554534
Distributor_SK Films,14845.984205204095
Distributor_SPEAKproductions,52465.83854133587
Distributor_STX Entertainment,1008257.9506590785
Distributor_Saboteur Media,46352.09781744497
"Distributor_Safari Media, LLC",300083.5374140611
Distributor_Samuel Goldwyn Films,-375177.80914808024
Distributor_Scarlet Sky Productions,-22407.55572922446
Distributor_Screen Media Films,-7286.692991917943
Distributor_Secret Identity Productions,-81329.7279148976
Distributor_Self Distributed,-527277.2256520917
Distributor_SenArt Films,-322711.2929455807
Distributor_Senart/Scranton-Lacy,-86316.54471415302
Distributor_Senator Entertainment,0.0
Distributor_Seventh Art Releasing,129190.19650735287
Distributor_Shadow,73863.1760122756
Distributor_Shemaroo Entertainment,-142192.58405046072
"Distributor_Shoot First, Inc.",68840.72531519688
Distributor_Shorts International,-53350.714292376426
Distributor_ShortsHD,-7012.261762655476
Distributor_Shotown Pictures,-65560.96914206793
Distributor_Shout! Factory,-813801.7805314312
Distributor_Showtime Original,71217.9676841036
Distributor_Sidetrack Films,45999.331289442634
Distributor_Skouras,-35185.44247054677
Distributor_Sky Island,-414353.50531788135
Distributor_Skylight Pictures,108107.86382890999
Distributor_Slater Brothers Entertainment,-343171.1109780192
